text,label
"No one gives a damn about me, just like those useless professors.",Depression
I bet no one would even notice if I disappeared from this pathetic college.,Depression
"These so-called friends are just backstabbing snakes, I hate them all.",Depression
"Professors act like they care, but they just want to ruin our lives.",Depression
"This college is a joke, and so are the people in it.",Depression
"I don’t see the point in trying anymore, nothing changes in this hellhole.",Depression
"Everyone in this college is fake, just like their stupid friendships.",Depression
Why do these idiots pretend to care when they obviously don’t?,Depression
I hate how people act all high and mighty when they’re just as miserable.,Depression
"This place is toxic, just like the people in it.",Depression
I swear no one here actually understands what I go through.,Depression
"I hope this college burns down, maybe then people will feel my pain.",Depression
"Everyone is so busy in their lives, no one even notices I exist.",Depression
"No matter how much I scream, no one listens. I hate them all.",Depression
"This place suffocates me, and I wish I could make it all disappear.",Depression
"Screw these fake friends, they only care when they need something.",Depression
"Every time I try to talk, people shut me down. I hate them.",Depression
"I’m tired of being ignored, maybe I should just stop existing.",Depression
This college does nothing but make people miserable and broken.,Depression
"People here act like they're better than me, but they're all worthless.",Depression
"No one checks up on me, but when I’m gone, they’ll act all sad.",Depression
"These professors love making students suffer, they enjoy our pain.",Depression
People only notice me when they need something. I hate them.,Depression
Why should I care about anyone when no one gives a damn about me?,Depression
"All these smiling faces are fake, they just hide their own misery.",Depression
I hope all these hypocrites drown in their own lies.,Depression
"No one understands my pain, and no one ever will.",Depression
Every day in this college feels like a punishment for existing.,Depression
I wish I could disappear just to see if anyone actually cares.,Depression
"This whole system is garbage, designed to break us down.",Depression
Friends? What a joke. Everyone just leaves when you need them most.,Depression
"These teachers act like they’re helping, but they only make things worse.",Depression
I wish I could make them feel the pain they put me through.,Depression
"No one in this college is worth trusting, they all betray you eventually.",Depression
I hope these fake people rot in the misery they spread.,Depression
Why should I be nice when the world treats me like garbage?,Depression
This college is full of arrogant fools who don’t care about anyone.,Depression
People just love watching others suffer. I hate this place.,Depression
I’m so done pretending everything is fine when it’s not.,Depression
"Nothing ever changes, no matter how much you scream for help.",Depression
"This place makes me feel like a ghost, invisible to everyone.",Depression
I hate how people pretend to be kind but laugh behind your back.,Depression
"If suffering was an art, this college would be a masterpiece.",Depression
Why does everyone act like my pain doesn’t exist?,Depression
I wish I could erase all the memories of this disgusting place.,Depression
People only care when they need something from you.,Depression
"I have no place here, and no one even cares.",Depression
This college is just a factory that crushes dreams and lives.,Depression
I don’t understand why I even try anymore.,Depression
"If kindness exists, I sure as hell haven’t found it here.",Depression
This place sucks the life out of you and leaves you empty.,Depression
Everyone I trusted turned out to be just as cruel as the rest.,Depression
I hope karma destroys every liar in this college.,Depression
Nothing but broken promises and fake smiles everywhere I look.,Depression
"No one really cares, they just pretend to for their own benefit.",Depression
"I gave my best to this place, and all I got was pain in return.",Depression
I hate how everyone ignores the suffering around them.,Depression
"No matter what I do, I always feel like I’m not enough.",Depression
